Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
6219,,Cooper Chapel,Rd,,Entire,,,,,1/30/2007
3958,,Craig,Ave,,Entire,,,,,1/30/2007
663,,Curry,Ct,,Entire,,,,,1/30/2007
1817,,Date,St,,Entire,,,,,2/2/2007
1920,,Owen,St,,Entire,,,,,2/2/2007
926,,Dixie,hwy,,Entire,,,,,2/7/2007
938,,Dixie,Hwy,,Entire,,,,,2/7/2007
1104,,Dixie,Hwy,,Entire,,,,,2/8/2007
1128,,Dixie,Hwy,,Entire,,,,,2/13/2007
1147,,Dixie,Hwy,,Entire,,,,,2/13/2007
1237,,Dixie,Hwy,,Garage,,,,,2/13/2007
2431,,Montgomery,St,,Entire,,,,,2/23/2007
1301,,Dixie,Hwy,,Entire,,,,,2/28/2007
840,S,Preston,St,,Entire,,,,,3/2/2007
3801,,Dixie,Hwy ,,Entire,,,,,3/5/2007
12800,,Dixie,Hwy,,Rear,,,,,3/7/2007
13519,,Dixie,Hwy,,Entire,,,,,3/13/2007
15522,,Dixie,Hwy,,Rear,,,,,3/19/2007
1303,,Dixie ,Hwy,,Entire,,,,,3/22/2007
2327,,Rowan,St,,Entire,,,,,3/26/2007
10411,S,Dodge,Ln,,Entire,,,,,3/28/2007
309,,Dr WJ Hodge,St,,Entire,,,,,3/30/2007
1539,,Dumesnil,St,,Entire,,,,,4/3/2007
1736,W,Oak,St,,Entire,,,,,4/11/2007
2302,,Dumesnil,St,,Rear,,,,,4/16/2007
1741,,Dumesnil,St,,Rear,,,,,4/19/2007
1814,,Duncan,St,,Entire,,,,,4/26/2007
2209,,Duncan,St,,Entire,,,,,5/1/2007
2401,,Duncan,St,,Entire,,,,,5/1/2007
4127,W,Market,ST,,Garage,,,,,5/1/2007
2409,,Duncan,St,,Entire,,,,,5/10/2007
2702,,Duncan,St,,Entire,,,,,5/22/2007
2921,,Duncan,St,,Entire,,,,,5/24/2007
1317,,Earl,Ave,,Entire,,,,,5/24/2007
2024,,Pirtle,St,,Entire,,,,,5/24/2007
2523,,Elliott,Ave,,Entire,,,,,5/29/2007
2436,,Elliott,Ave,,Entire,,,,,5/30/2007
2308,,Elmore,St,,Entire,,,,,5/31/2007
6722,,Elmwood,St,,Entire,,,,,6/4/2007
603,,Finzer,St,,Entire,,,,,6/4/2007
1633,,Fulton,St,,Entire,,,,,6/5/2007
1533,,Gallagher,St,,Entire,,,,,6/5/2007
1700,,Gallagher,St,,Entire,,,,,6/5/2007
1711,,Gallagher,St,,Entire,,,,,6/5/2007
4026,,Muhammad Ali,,,Entire,,,,,6/5/2007
1525,,Garland,Ave,,Entire,,,,,6/12/2007
2204,,Garland,Ave,,Entire,,,,,6/21/2007
2537,,Garland,Ave,,Entire,,,,,6/26/2007
2601,,Garland,Ave,,Entire,,,,,6/28/2007
1717,W,Gaulbert,Ave,,Entire,,,,,6/28/2007
9112,,Minor,Ln,,Entire,,,,,6/28/2007
1816,W,Gaulbert,Ave,,Rear,,,,,6/29/2007
9806,,Gerald,Way,,Entire,,,,,6/29/2007
2712,,Gilligan,St,,Entire,,,,,7/2/2007
330,,Glendora,Ave,,Rear,,,,,7/5/2007
1017,,Goss,Ave,,Entire,,,,,7/11/2007
6519,,Putman,St,,Entire,,,,,7/12/2007
2236,,Grand,Ave,,Entire,,,,,7/13/2007
3407,,Grand,Ave,,Entire,,,,,7/16/2007
3,,Grand ,Ave,,Entire,,,,,7/20/2007
5,,Grand ,Ave,,Entire,,,,,7/26/2007
2402,,Granger,Rd,,Entire,,,,,8/7/2007
2019,W,Market,St,,Entire,,,,,8/8/2007
2100,,Greenwood,Ave,,Entire,,,,,8/9/2007
2147,,Rowan,St,,Entire,,,,,8/9/2007
